pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id,dropoff_location_id,fare_amount,toll_amount,payment_type
2024-10-01 08:30:00,2024-10-01 08:50:00,2,3.50,1,2,12.50,0.00,cash
2024-10-01 09:15:00,2024-10-01 09:40:00,1,2.00,2,3,10.00,2.00,card
2024-10-02 10:05:00,2024-10-02 10:30:00,3,5.10,1,5,15.50,0.00,cash
2024-10-02 11:00:00,2024-10-02 11:20:00,2,1.75,3,1,8.50,1.00,card
2024-10-03 12:30:00,2024-10-03 12:55:00,4,4.20,2,4,14.00,0.00,cash
2024-10-04 13:00:00,2024-10-04 13:30:00,1,3.50,3,5,11.00,3.00,card
2024-10-04 14:15:00,2024-10-04 14:45:00,2,2.60,1,3,9.00,1.50,cash
2024-10-05 15:00:00,2024-10-05 15:35:00,3,6.00,2,4,17.50,0.00,card
2024-10-06 16:10:00,2024-10-06 16:50:00,1,5.00,3,1,16.00,2.00,cash
2024-10-06 17:25:00,2024-10-06 17:50:00,2,3.30,2,5,12.50,1.00,card
2024-10-07 18:00:00,2024-10-07 18:20:00,1,4.75,1,3,15.00,0.00,cash
2024-10-08 19:00:00,2024-10-08 19:30:00,4,2.90,3,2,9.00,0.00,card
2024-10-09 20:30:00,2024-10-09 20:55:00,2,3.20,2,1,10.50,1.50,cash
2024-10-10 21:15:00,2024-10-10 21:40:00,3,4.80,1,4,14.00,0.00,card
2024-10-10 22:00:00,2024-10-10 22:25:00,2,2.50,3,5,9.50,2.00,cash
2024-10-11 23:30:00,2024-10-11 23:50:00,1,3.00,2,2,12.00,0.00,card
2024-10-12 09:15:00,2024-10-12 09:40:00,3,5.30,1,3,16.50,1.00,cash
2024-10-12 10:00:00,2024-10-12 10:30:00,1,2.80,2,4,10.00,2.00,card
2024-10-13 11:00:00,2024-10-13 11:25:00,2,4.40,3,1,13.00,0.00,cash
2024-10-13 12:30:00,2024-10-13 12:55:00,4,3.70,1,2,11.00,1.50,card
2024-10-14 13:15:00,2024-10-14 13:50:00,2,5.80,2,5,17.50,0.00,cash
2024-10-15 14:45:00,2024-10-15 15:15:00,1,1.90,3,3,7.00,1.00,card
2024-10-16 16:20:00,2024-10-16 16:45:00,3,6.10,1,1,19.00,0.00,cash
2024-10-16 17:10:00,2024-10-16 17:30:00,2,3.00,2,4,10.50,1.50,card
2024-10-17 18:30:00,2024-10-17 18:50:00,4,4.50,1,5,15.00,2.00,cash
2024-10-18 19:45:00,2024-10-18 20:10:00,1,2.20,3,2,8.00,0.00,card
2024-10-19 21:00:00,2024-10-19 21:30:00,3,5.90,2,3,16.50,1.00,cash
2024-10-20 22:15:00,2024-10-20 22:45:00,2,4.00,1,4,12.00,0.00,card
